Date,Close/Last,Volume,Open,High,Low
01/14/2025,$109.72,11191180,$108.79,$109.76,$107.83
01/13/2025,$109.29,17073400,$107.125,$109.63,$107.125
01/10/2025,$106.54,19304500,$108.70,$110.10,$105.78
01/08/2025,$106.93,17858110,$107.31,$107.71,$106.01
01/07/2025,$108.75,12625890,$108.94,$110.06,$108.28
01/06/2025,$107.74,15623680,$108.24,$109.78,$107.52
01/03/2025,$107.86,14237890,$108.00,$108.49,$107.46
01/02/2025,$107.31,12685450,$108.275,$109.00,$106.88
12/31/2024,$107.57,12387760,$106.17,$107.90,$105.78
12/30/2024,$105.76,11080770,$106.30,$106.56,$105.51
12/27/2024,$106.48,11943910,$106.30,$107.99,$105.77
12/26/2024,$106.49,9653408,$106.52,$107.03,$105.94
12/24/2024,$106.40,7806997,$106.52,$107.19,$105.70
12/23/2024,$106.30,12285080,$105.31,$106.60,$104.92
12/20/2024,$105.87,40141150,$105.45,$106.135,$104.84
12/19/2024,$105.51,20565560,$107.39,$107.67,$105.21
12/18/2024,$106.42,17114540,$107.57,$108.83,$106.31
12/17/2024,$108.01,17554000,$107.235,$108.17,$106.7869
12/16/2024,$108.47,20256090,$110.20,$110.40,$108.16
12/13/2024,$110.84,13106080,$111.899,$111.899,$110.25
12/12/2024,$111.82,14543260,$111.59,$112.38,$110.78
12/11/2024,$111.92,32392240,$112.00,$112.39,$111.11
12/10/2024,$112.67,20990940,$113.585,$113.88,$111.75
12/09/2024,$112.90,17412570,$114.64,$114.94,$112.745
12/06/2024,$113.57,16171070,$114.54,$114.77,$113.50
12/05/2024,$114.78,15751200,$114.71,$115.62,$114.06
12/04/2024,$114.28,19520580,$117.50,$117.55,$113.8612
12/03/2024,$117.67,11756570,$118.72,$118.72,$117.255
12/02/2024,$117.85,12687320,$118.05,$118.20,$116.82
11/29/2024,$117.96,9426499,$117.44,$118.50,$116.95
11/27/2024,$117.66,11079120,$118.09,$118.73,$117.43
11/26/2024,$117.97,14827330,$119.53,$119.68,$117.845
11/25/2024,$119.97,26580300,$121.43,$121.88,$119.61
11/22/2024,$121.79,13323430,$121.82,$123.21,$121.64
11/21/2024,$121.93,14675420,$121.08,$122.5547,$120.27
11/20/2024,$120.32,11360930,$119.17,$120.47,$118.64
11/19/2024,$118.63,11584380,$119.75,$119.75,$118.20
11/18/2024,$120.31,14243700,$119.79,$120.62,$119.27
11/15/2024,$119.31,19051710,$120.40,$121.24,$119.13
11/14/2024,$120.56,13041850,$121.66,$121.88,$120.33
11/13/2024,$121.47,15127880,$120.565,$122.05,$118.80
11/12/2024,$120.35,11972800,$121.13,$121.31,$119.8365
11/11/2024,$120.47,11969660,$121.00,$121.62,$120.07
11/08/2024,$121.11,12835970,$120.98,$121.42,$119.66
11/07/2024,$121.15,12184430,$121.30,$121.50,$119.61
11/06/2024,$121.00,20807680,$121.145,$121.91,$119.30
11/05/2024,$118.96,10436740,$119.08,$119.21,$118.01
11/04/2024,$118.61,14965430,$116.07,$118.70,$115.93
11/01/2024,$114.95,20939320,$119.93,$119.95,$114.84
10/31/2024,$116.78,20511980,$117.15,$118.67,$116.68
10/30/2024,$116.69,12303740,$117.66,$118.27,$116.48
10/29/2024,$117.28,14731020,$118.58,$119.1719,$117.0701
10/28/2024,$118.90,11844550,$116.79,$119.01,$116.77
10/25/2024,$119.49,10714580,$120.20,$120.43,$119.315
10/24/2024,$119.59,9905556,$120.00,$120.44,$119.125
10/23/2024,$120.27,8320330,$119.97,$120.75,$119.40
10/22/2024,$120.70,9201408,$120.26,$121.19,$119.94
10/21/2024,$120.08,10177780,$120.98,$121.48,$119.72
10/18/2024,$120.01,12898640,$120.44,$120.64,$119.15
10/17/2024,$120.35,11204860,$120.76,$121.58,$119.71
10/16/2024,$120.66,8426770,$120.89,$121.435,$120.60
10/15/2024,$120.35,15771320,$120.82,$121.95,$119.78
10/14/2024,$124.08,9808122,$123.24,$124.26,$122.615
10/11/2024,$123.61,8294839,$123.10,$124.0339,$122.94
10/10/2024,$123.14,10243320,$123.16,$123.7013,$122.29
10/09/2024,$122.09,11144860,$120.90,$122.5799,$120.80
10/08/2024,$122.04,14818480,$123.88,$124.02,$121.26
10/07/2024,$125.37,15714440,$125.25,$126.34,$124.86
10/04/2024,$124.83,19759210,$123.20,$125.19,$122.43
10/03/2024,$122.58,16524330,$121.90,$123.17,$120.929
10/02/2024,$121.52,17129680,$121.93,$122.82,$120.20
10/01/2024,$119.93,23235880,$116.04,$120.60,$115.93
09/30/2024,$117.22,13250660,$115.46,$117.39,$114.96
09/27/2024,$115.82,15963970,$113.76,$116.09,$113.25
09/26/2024,$112.80,16887910,$111.14,$113.48,$111.14
09/25/2024,$114.77,13816040,$116.485,$117.05,$114.04
09/24/2024,$117.05,11984860,$117.84,$118.16,$116.83
09/23/2024,$117.36,16066290,$115.33,$117.793,$115.12
09/20/2024,$115.27,36206200,$115.46,$115.51,$114.25
09/19/2024,$116.00,12660640,$116.16,$117.575,$115.19
09/18/2024,$114.58,12569930,$114.11,$115.63,$113.81
09/17/2024,$114.18,12202560,$112.32,$114.37,$112.12
09/16/2024,$112.71,11729030,$112.05,$113.085,$111.69
09/13/2024,$111.15,10035390,$111.47,$112.47,$110.93
09/12/2024,$111.23,15923320,$109.90,$111.33,$109.7609
09/11/2024,$109.72,19571950,$110.775,$110.95,$107.77
09/10/2024,$110.82,20913410,$115.10,$115.40,$110.17
09/09/2024,$115.01,21645330,$112.87,$116.15,$112.66
09/06/2024,$112.64,13467750,$113.59,$114.18,$111.732
09/05/2024,$113.17,17200770,$115.07,$115.28,$113.07
09/04/2024,$114.06,12620580,$115.29,$116.15,$113.975
09/03/2024,$115.47,15725140,$115.84,$116.09,$114.04
08/30/2024,$117.94,13284690,$116.79,$118.02,$116.29
08/29/2024,$118.13,10753900,$117.20,$118.79,$116.35
08/28/2024,$116.52,10742870,$117.00,$117.58,$116.26
08/27/2024,$117.68,9991631,$118.96,$119.41,$117.40
08/26/2024,$118.81,13671020,$117.76,$118.94,$116.92
08/23/2024,$116.32,10381430,$115.025,$116.72,$115.025
08/22/2024,$114.73,10609500,$113.78,$115.01,$113.635
08/21/2024,$113.85,11752360,$115.01,$115.57,$113.76
08/20/2024,$114.58,15631970,$118.65,$118.65,$114.51
08/19/2024,$118.53,12417470,$118.40,$120.50,$118.17
08/16/2024,$118.17,10056020,$117.99,$118.48,$117.66
08/15/2024,$118.73,11579430,$118.25,$119.63,$118.12
08/14/2024,$118.95,12194520,$118.10,$119.90,$117.63
08/13/2024,$117.86,11585070,$118.275,$118.51,$117.50
08/12/2024,$119.00,13228910,$119.55,$120.1699,$118.02
08/09/2024,$118.85,12151870,$117.885,$119.31,$117.36
08/08/2024,$117.89,13850990,$116.08,$118.105,$115.73
08/07/2024,$115.68,13660660,$115.45,$117.119,$115.26
08/06/2024,$114.16,13647780,$114.45,$115.63,$113.63
08/05/2024,$114.77,18025860,$115.54,$116.03,$113.25
08/02/2024,$116.88,20403770,$115.97,$118.87,$115.42
08/01/2024,$116.95,15051480,$118.35,$119.49,$116.36
07/31/2024,$118.59,15137710,$119.64,$119.76,$118.56
07/30/2024,$118.17,12483860,$116.36,$118.595,$116.23
07/29/2024,$116.10,8861806,$117.32,$117.39,$115.38
07/26/2024,$117.33,11252480,$116.77,$118.03,$116.47
07/25/2024,$117.43,17021700,$115.17,$118.03,$114.56
07/24/2024,$115.01,14925180,$113.765,$115.20,$113.065
07/23/2024,$113.41,11251730,$114.81,$115.17,$113.17
07/22/2024,$115.27,12065880,$115.18,$115.94,$114.58
07/19/2024,$116.07,16157710,$118.59,$118.8793,$115.87
07/18/2024,$118.80,13033560,$117.95,$119.92,$117.435
07/17/2024,$117.64,13602770,$116.74,$118.175,$116.55
07/16/2024,$116.04,13614050,$114.35,$116.35,$113.71
07/15/2024,$115.21,13032500,$114.27,$116.16,$113.575
07/12/2024,$113.27,11684950,$113.99,$114.15,$112.63
07/11/2024,$113.25,13084880,$111.43,$113.315,$110.93
07/10/2024,$111.92,10004090,$110.92,$111.96,$110.42
07/09/2024,$110.94,11729090,$111.11,$112.54,$110.62
07/08/2024,$112.18,13350550,$112.39,$113.55,$111.42
07/05/2024,$113.37,12630990,$114.61,$114.63,$112.685
07/03/2024,$114.76,7732928,$114.27,$115.66,$114.27
07/02/2024,$114.18,13326700,$115.90,$115.94,$113.49
07/01/2024,$114.96,11972880,$115.71,$116.74,$114.53
06/28/2024,$115.12,24565910,$115.86,$116.54,$114.675
06/27/2024,$114.90,16812730,$114.99,$114.99,$114.11
06/26/2024,$114.41,15771750,$114.39,$114.815,$113.14
06/25/2024,$114.37,16213680,$114.11,$114.55,$113.455
06/24/2024,$114.05,16266690,$111.64,$114.525,$111.64
06/21/2024,$110.76,52220570,$111.90,$112.695,$110.76
06/20/2024,$111.74,17433190,$109.91,$112.62,$109.59
06/18/2024,$109.38,17762920,$109.03,$110.72,$108.80
06/17/2024,$108.36,21147940,$109.17,$109.46,$108.18
